year,month,day,hour,minute,identifier,zone_ideal_loads_supply_air_total_cooling_energy,zone_ideal_loads_supply_air_total_heating_energy
2017,2,1,0,0,writeup_0,8.46853469472222e-05,14.143836183976262
2017,3,1,0,0,writeup_0,0.14956193161983097,10.765632671499496
2017,4,1,0,0,writeup_0,0.5342323962828571,4.877105449476266
2017,5,1,0,0,writeup_0,2.042085256889616,1.486587640560891
2017,6,1,0,0,writeup_0,5.434963513694896,0.5043117016214861
2017,7,1,0,0,writeup_0,10.915516985477534,0.02460344299290331
2017,8,1,0,0,writeup_0,7.942703950169822,0.08559944065358009
2017,9,1,0,0,writeup_0,2.648927028088391,0.5594932671064559
2017,10,1,0,0,writeup_0,0.33485110422061076,2.830722282943247
2017,11,1,0,0,writeup_0,3.463500123744818e-05,8.014354112957756
2017,12,1,0,0,writeup_0,1.4954220205360752e-05,13.329656887456686
2017,1,1,0,0,lab_support_0,0.0,366.01562846831837
2017,2,1,0,0,lab_support_0,0.0,296.37074654808333
2017,3,1,0,0,lab_support_0,0.4661466878573821,263.64502035744636
2017,4,1,0,0,lab_support_0,4.5977080335036185,188.75950635175946
2017,5,1,0,0,lab_support_0,7.401159028314671,100.49670509672191
2017,6,1,0,0,lab_support_0,28.317954495427877,54.66147983402994
2017,7,1,0,0,lab_support_0,66.10083968683736,13.769859476504699
2017,8,1,0,0,lab_support_0,43.42148886336267,21.02210298530837
2017,9,1,0,0,lab_support_0,13.198894329609027,55.28031520090154
2017,10,1,0,0,lab_support_0,2.512225794811213,138.24255703491576
2017,11,1,0,0,lab_support_0,0.0,219.95719778181666
2017,12,1,0,0,lab_support_0,0.0,289.2513683044526
2017,1,1,0,0,lab_support_1,0.0,368.71235768126525
2017,2,1,0,0,lab_support_1,0.0,298.2404758010507
2017,3,1,0,0,lab_support_1,0.5112583580921828,264.8177499350232
2017,4,1,0,0,lab_support_1,4.779489561656193,189.0796449806218
2017,5,1,0,0,lab_support_1,8.020460093366696,99.89792830227287
2017,6,1,0,0,lab_support_1,29.948672002762518,54.254398497266926
2017,7,1,0,0,lab_support_1,69.46058182680694,13.626535764730507
2017,8,1,0,0,lab_support_1,46.38614573743578,20.72012079615529
2017,9,1,0,0,lab_support_1,14.211245633917715,54.8699286943528
2017,10,1,0,0,lab_support_1,2.6908114324593444,138.411126131671
2017,11,1,0,0,lab_support_1,0.0,221.13658152747792
2017,12,1,0,0,lab_support_1,0.0,291.2715583706937
2017,1,1,0,0,lab_support_2,0.0,368.53654461488435
2017,2,1,0,0,lab_support_2,0.0,298.0233864825126
2017,3,1,0,0,lab_support_2,0.5221489745595447,264.533201380435
2017,4,1,0,0,lab_support_2,4.8215481734865895,188.85339071093225
2017,5,1,0,0,lab_support_2,8.14528281755444,99.70948047740339
2017,6,1,0,0,lab_support_2,30.169657700912772,54.18903145831609
2017,7,1,0,0,lab_support_2,69.88310196193078,13.611717024491323
2017,8,1,0,0,lab_support_2,46.87708536681997,20.651536234233454
2017,9,1,0,0,lab_support_2,14.428497926617005,54.61858008284536
2017,10,1,0,0,lab_support_2,2.737525387733329,138.1026304276436
2017,11,1,0,0,lab_support_2,0.0,220.94355166532338
2017,12,1,0,0,lab_support_2,0.0,291.1106289541433
