month,day,hour,minute,identifier,surface_inside_face_temperature,surface_outside_face_temperature
2,1,0,0,office_1..Face2,18.44165398798157,18.70658125834273
3,1,0,0,office_1..Face2,19.13592664363974,19.28363763523008
4,1,0,0,office_1..Face2,19.942245137123386,19.929271814052495
5,1,0,0,office_1..Face2,21.984052452979224,21.787961343412974
6,1,0,0,office_1..Face2,23.188431576408057,22.940770627137994
7,1,0,0,office_1..Face2,24.43057051360971,24.108291725247632
8,1,0,0,office_1..Face2,23.92502117235195,23.67704299283506
9,1,0,0,office_1..Face2,22.512910742288142,22.379225236787292
10,1,0,0,office_1..Face2,20.577912570885807,20.641796642935464
11,1,0,0,office_1..Face2,19.167952537178593,19.384462287675248
12,1,0,0,office_1..Face2,18.424172767434456,18.713373966518212
1,1,0,0,office_1..Face3,18.187887164623177,18.513123710405537
2,1,0,0,office_1..Face3,18.478620818764803,18.745561964555186
3,1,0,0,office_1..Face3,19.160027512921737,19.307668279705055
4,1,0,0,office_1..Face3,19.950686022568878,19.934940982212147
5,1,0,0,office_1..Face3,21.978849117919477,21.776037778138374
6,1,0,0,office_1..Face3,23.17816493547742,22.92338191754203
7,1,0,0,office_1..Face3,24.41259176467776,24.084122670805225
8,1,0,0,office_1..Face3,23.913380851044664,23.65865628460488
9,1,0,0,office_1..Face3,22.509483851792766,22.36855930310515
10,1,0,0,office_1..Face3,20.589884421394242,20.6485867635916
11,1,0,0,office_1..Face3,19.195031179992018,19.410236346400847
12,1,0,0,office_1..Face3,18.460604885032048,18.75110105865796
1,1,0,0,office_1..Face4,18.058166217370502,18.171486163526115
2,1,0,0,office_1..Face4,18.383131010302115,18.505720585934935
3,1,0,0,office_1..Face4,19.129397744803576,19.26761575022911
4,1,0,0,office_1..Face4,19.974055000789484,20.047630729661904
5,1,0,0,office_1..Face4,22.06216430118666,22.074146881646886
6,1,0,0,office_1..Face4,23.299180655783175,23.34891429577836
7,1,0,0,office_1..Face4,24.585847073080824,24.683971991680874
8,1,0,0,office_1..Face4,24.048902115236448,24.132357363649874
9,1,0,0,office_1..Face4,22.564957827263704,22.57195819496545
10,1,0,0,office_1..Face4,20.58193908076634,20.656431030767646
11,1,0,0,office_1..Face4,19.131160746091858,19.256957113660217
12,1,0,0,office_1..Face4,18.354098704735573,18.473303955976046
1,1,0,0,office_1..Face5,17.59673468386762,-2.5782101472230248
2,1,0,0,office_1..Face5,17.97512989515113,0.6199083774975612
3,1,0,0,office_1..Face5,18.828223448282476,5.939519638031734
4,1,0,0,office_1..Face5,19.82400481994957,11.82907914885557
5,1,0,0,office_1..Face5,22.09741003661818,19.752953139550094
6,1,0,0,office_1..Face5,23.401820837241505,24.116753074930728
7,1,0,0,office_1..Face5,24.770996654250826,28.868458069209787
8,1,0,0,office_1..Face5,24.17392197076688,26.274864483908846
9,1,0,0,office_1..Face5,22.61215818224469,21.438984767312277
10,1,0,0,office_1..Face5,20.446031917092196,13.873839906562775
11,1,0,0,office_1..Face5,18.834846366731885,6.756460434305235
12,1,0,0,office_1..Face5,17.96962106955139,2.092174277856557
1,1,0,0,office_2..Face0,18.512441730156176,18.0
2,1,0,0,office_2..Face0,19.218045556450125,18.0
3,1,0,0,office_2..Face0,19.669409709604086,18.0
4,1,0,0,office_2..Face0,20.43531591299673,18.0
5,1,0,0,office_2..Face0,22.089939580459664,18.0
6,1,0,0,office_2..Face0,23.21614131454058,18.0
7,1,0,0,office_2..Face0,24.499801234351075,18.0
8,1,0,0,office_2..Face0,24.12648521751541,18.0
